reference,arm,metric,diff,ci_lo,ci_hi,p,p_method,n_groups,p_holm
embedding_severity,gemini_2_5_flash__semantic,severity accuracy,0.39682539682539675,0.23809523809523808,0.5555555555555556,7.62939453125e-05,exact,42,0.005340576171875
embedding_severity,gemini_2_5_flash__semantic,status turbofan,0.1507936507936508,0.023809523809523808,0.2857142857142857,0.0390625,exact,42,1.0
embedding_severity,gemini_2_5_flash__semantic,status simulator,0.0634920634920635,-0.11904761904761904,0.23809523809523808,0.60723876953125,exact,42,1.0
embedding_severity,gemini_2_5_flash__semantic,status simulator_calibrated,0.17460317460317462,0.03174603174603175,0.3253968253968254,0.0343017578125,exact,42,1.0
embedding_severity,gemini_2_5_flash_nothink__production,severity accuracy,0.3412698412698413,0.13492063492063494,0.5317460317460319,0.0027199864000679998,monte carlo 200000,42,0.13055934720326398
embedding_severity,gemini_2_5_flash_nothink__production,status turbofan,0.17460317460317462,0.05555555555555556,0.30952380952380953,0.0078125,exact,42,0.34375
embedding_severity,gemini_2_5_flash_nothink__production,status simulator,0.09523809523809523,-0.07142857142857142,0.2619047619047619,0.4239501953125,exact,42,1.0
embedding_severity,gemini_2_5_flash_nothink__production,status simulator_calibrated,0.23015873015873017,0.11111111111111109,0.36507936507936506,0.00146484375,exact,42,0.076171875
embedding_severity,gemini_3_5_flash__production,severity accuracy,0.4126984126984127,0.2619047619047619,0.5555555555555556,7.62939453125e-06,exact,42,0.0006103515625
embedding_severity,gemini_3_5_flash__production,status turbofan,0.16666666666666666,0.06349206349206349,0.2857142857142857,0.01171875,exact,42,0.4453125
embedding_severity,gemini_3_5_flash__production,status simulator,0.07936507936507936,-0.08730158730158731,0.246031746031746,0.4239501953125,exact,42,1.0
embedding_severity,gemini_3_5_flash__production,status simulator_calibrated,0.21428571428571427,0.09523809523809523,0.3412698412698413,0.001953125,exact,42,0.095703125
embedding_severity,gemini_3_5_flash__semantic,severity accuracy,0.4523809523809524,0.30952380952380953,0.5952380952380952,3.814697265625e-06,exact,42,0.00035858154296875
embedding_severity,gemini_3_5_flash__semantic,status turbofan,0.18253968253968256,0.07142857142857142,0.30952380952380953,0.0078125,exact,42,0.34375
embedding_severity,gemini_3_5_flash__semantic,status simulator,0.13492063492063494,-0.023809523809523808,0.2857142857142857,0.14599609375,exact,42,1.0
embedding_severity,gemini_3_5_flash__semantic,status simulator_calibrated,0.23015873015873017,0.11111111111111109,0.36507936507936506,0.00146484375,exact,42,0.076171875
embedding_severity,gemma3_4b__production,severity accuracy,-0.14285714285714285,-0.3333333333333333,0.07142857142857142,0.26317596435546875,exact,42,1.0
embedding_severity,gemma3_4b__production,status turbofan,0.0,-0.16666666666666666,0.16666666666666666,1.0,exact,42,1.0
embedding_severity,gemma3_4b__production,status simulator,-0.21428571428571427,-0.42857142857142855,0.0,0.10689446552767236,monte carlo 200000,42,1.0
embedding_severity,gemma3_4b__production,status simulator_calibrated,-0.07142857142857142,-0.2857142857142857,0.14285714285714285,0.5848770756146219,monte carlo 200000,42,1.0
embedding_severity,gpt_oss_120b__production,severity accuracy,0.18253968253968256,-0.023809523809523794,0.38095238095238093,0.10488947555262224,monte carlo 200000,42,1.0
embedding_severity,gpt_oss_120b__production,status turbofan,0.05555555555555556,-0.07142857142857142,0.19047619047619047,0.48046875,exact,42,1.0
embedding_severity,gpt_oss_120b__production,status simulator,-0.01587301587301587,-0.18253968253968253,0.1507936507936508,1.0,exact,42,1.0
embedding_severity,gpt_oss_120b__production,status simulator_calibrated,0.10317460317460317,-0.023809523809523798,0.23809523809523808,0.1591796875,exact,42,1.0
embedding_severity,gpt_oss_120b__semantic,severity accuracy,0.36507936507936506,0.22222222222222218,0.5158730158730158,3.0517578125e-05,exact,42,0.002197265625
embedding_severity,gpt_oss_120b__semantic,status turbofan,0.11904761904761904,-0.023809523809523808,0.2619047619047619,0.2265625,exact,42,1.0
embedding_severity,gpt_oss_120b__semantic,status simulator,0.047619047619047616,-0.13492063492063494,0.23015873015873017,0.7054290771484375,exact,42,1.0
embedding_severity,gpt_oss_120b__semantic,status simulator_calibrated,0.19047619047619047,0.03968253968253968,0.3492063492063492,0.030517578125,exact,42,1.0
embedding_severity,llama3_2_3b__production,severity accuracy,0.09523809523809523,-0.14285714285714285,0.3333333333333333,0.5576972115139425,monte carlo 200000,42,1.0
embedding_severity,llama3_2_3b__production,status turbofan,0.13492063492063494,-0.007936507936507934,0.2857142857142857,0.109375,exact,42,1.0
embedding_severity,llama3_2_3b__production,status simulator,0.07142857142857142,-0.11904761904761904,0.23809523809523808,0.60723876953125,exact,42,1.0
embedding_severity,llama3_2_3b__production,status simulator_calibrated,0.16666666666666669,0.023809523809523798,0.3174603174603175,0.04864501953125,exact,42,1.0
embedding_severity,qwen3_4b__production,severity accuracy,0.023809523809523808,-0.21428571428571427,0.2619047619047619,1.0,monte carlo 200000,42,1.0
