reference,arm,metric,diff,ci_lo,ci_hi,p,p_method,n_groups,p_holm
embedding_severity,gemini_3_5_flash__semantic,severity accuracy,0.3851851851851852,0.2185185185185185,0.5629629629629629,0.00048828125,exact,18,0.046875
embedding_severity,gemini_3_5_flash__semantic,status turbofan,0.003703703703703712,-0.15185185185185185,0.15185185185185185,1.0,exact,18,1.0
embedding_severity,gemini_3_5_flash__semantic,status simulator,-0.09629629629629628,-0.3148148148148148,0.1037037037037037,0.4423828125,exact,18,1.0
embedding_severity,gemini_3_5_flash__semantic,status simulator_calibrated,0.055555555555555566,-0.040740740740740744,0.17777777777777776,0.443359375,exact,18,1.0
embedding_severity,gemma3_4b__production,severity accuracy,-0.1,-0.26666666666666666,0.05555555555555555,0.310546875,exact,18,1.0
embedding_severity,gemma3_4b__production,status turbofan,-0.22962962962962966,-0.44074074074074077,-0.03694444444444578,0.048828125,exact,18,1.0
embedding_severity,gemma3_4b__production,status simulator,-0.4296296296296296,-0.6666666666666666,-0.1888888888888889,0.00439453125,exact,18,0.35595703125
embedding_severity,gemma3_4b__production,status simulator_calibrated,-0.24444444444444446,-0.4555555555555555,-0.05185185185185184,0.0380859375,exact,18,1.0
embedding_severity,gpt_oss_120b__production,severity accuracy,0.35555555555555557,0.16296296296296298,0.5518518518518518,0.0029296875,exact,18,0.240234375
embedding_severity,gpt_oss_120b__production,status turbofan,0.05185185185185185,-0.03333333333333334,0.16296296296296298,0.4609375,exact,18,1.0
embedding_severity,gpt_oss_120b__production,status simulator,-0.05185185185185185,-0.2518518518518518,0.1259259259259259,0.638671875,exact,18,1.0
embedding_severity,gpt_oss_120b__production,status simulator_calibrated,0.07407407407407407,-0.0037037037037037043,0.17777777777777778,0.15625,exact,18,1.0
embedding_severity,gpt_oss_120b__semantic,severity accuracy,0.30740740740740746,0.15555555555555556,0.47777777777777763,0.0009765625,exact,18,0.08984375
embedding_severity,gpt_oss_120b__semantic,status turbofan,-0.02592592592592593,-0.15185185185185185,0.10740740740740741,0.75048828125,exact,18,1.0
embedding_severity,gpt_oss_120b__semantic,status simulator,-0.15925925925925924,-0.3592592592592593,0.03333333333333333,0.156005859375,exact,18,1.0
embedding_severity,gpt_oss_120b__semantic,status simulator_calibrated,0.0074074074074074086,-0.12222222222222223,0.13703703703703704,0.94921875,exact,18,1.0
embedding_severity,llama3_2_3b__production,severity accuracy,0.08888888888888886,-0.13333333333333336,0.3222222222222222,0.51953125,exact,18,1.0
embedding_severity,llama3_2_3b__production,status turbofan,-0.04814814814814815,-0.2037037037037037,0.0851851851851852,0.609375,exact,18,1.0
embedding_severity,llama3_2_3b__production,status simulator,-0.2740740740740741,-0.5,-0.05925925925925925,0.0390625,exact,18,1.0
embedding_severity,llama3_2_3b__production,status simulator_calibrated,-0.08148148148148147,-0.24444444444444446,0.06296296296296296,0.3671875,exact,18,1.0
embedding_severity,qwen3_4b__production,severity accuracy,0.033333333333333326,-0.21111111111111114,0.2888888888888889,0.8662109375,exact,18,1.0
embedding_severity,qwen3_4b__production,status turbofan,-0.08148148148148147,-0.2185185185185185,0.051944444444443114,0.29150390625,exact,18,1.0
embedding_severity,qwen3_4b__production,status simulator,-0.27037037037037037,-0.47777777777777775,-0.06666666666666667,0.0279541015625,exact,18,1.0
embedding_severity,qwen3_4b__production,status simulator_calibrated,-0.13333333333333333,-0.3037037037037037,0.025925925925925932,0.15966796875,exact,18,1.0
embedding_severity,qwen3_8_27b__production,severity accuracy,0.4222222222222223,0.23333333333333334,0.6111111111111112,0.00048828125,exact,18,0.046875
embedding_severity,qwen3_8_27b__production,status turbofan,0.05925925925925926,-0.05555555555555555,0.18888888888888888,0.390625,exact,18,1.0
embedding_severity,qwen3_8_27b__production,status simulator,-0.048148148148148134,-0.24814814814814815,0.12962962962962965,0.68359375,exact,18,1.0
embedding_severity,qwen3_8_27b__production,status simulator_calibrated,0.07407407407407407,-0.02962962962962963,0.1925925925925926,0.2421875,exact,18,1.0
embedding_severity,qwen3_8_27b__semantic,severity accuracy,0.32222222222222224,0.16666666666666666,0.4999999999999999,0.0009765625,exact,18,0.08984375
embedding_severity,qwen3_8_27b__semantic,status turbofan,-0.04814814814814815,-0.20000000000000004,0.11111111111111113,0.599609375,exact,18,1.0
embedding_severity,qwen3_8_27b__semantic,status simulator,-0.18518518518518517,-0.4074074074074074,0.029629629629629634,0.1435546875,exact,18,1.0
embedding_severity,qwen3_8_27b__semantic,status simulator_calibrated,0.01851851851851852,-0.10740740740740742,0.15555555555555556,0.87890625,exact,18,1.0
