arm,metric,original,rewrites,diff,ci_lo,ci_hi,p,p_method,n_groups
gemini_3_5_flash__semantic,severity accuracy,0.8703703703703703,0.9861111111111112,0.11574074074074076,-0.013888888888888888,0.28240740740740744,0.25,exact,18
gemini_3_5_flash__semantic,status turbofan,0.8518518518518517,0.9166666666666666,0.06481481481481483,-0.03703703703703704,0.1990740740740741,0.40625,exact,18
gemini_3_5_flash__semantic,status simulator,0.7592592592592592,0.7962962962962963,0.037037037037037035,-0.06481481481481481,0.17592592592592593,0.765625,exact,18
gemini_3_5_flash__semantic,status simulator_calibrated,0.8703703703703703,0.9629629629629629,0.09259259259259259,-0.004629629629629626,0.21296296296296294,0.1875,exact,18
gemma3_4b__production,severity accuracy,0.5555555555555556,0.4583333333333333,-0.09722222222222222,-0.2638888888888889,0.041666666666666664,0.34375,exact,18
gemma3_4b__production,status turbofan,0.7222222222222222,0.6574074074074073,-0.06481481481481483,-0.20370370370370372,0.05092592592592592,0.375,exact,18
gemma3_4b__production,status simulator,0.5,0.4444444444444444,-0.05555555555555555,-0.19444444444444445,0.041666666666666664,0.625,exact,18
gemma3_4b__production,status simulator_calibrated,0.6481481481481481,0.6435185185185185,-0.0046296296296296285,-0.16666666666666663,0.14814814814814814,1.0,exact,18
gpt_oss_120b__production,severity accuracy,1.0,0.9166666666666666,-0.08333333333333333,-0.14351851851851852,-0.027777777777777776,0.03125,exact,18
gpt_oss_120b__production,status turbofan,0.9814814814814814,0.9444444444444444,-0.03703703703703704,-0.09722222222222222,0.018518518518518514,0.3125,exact,18
gpt_oss_120b__production,status simulator,0.8888888888888888,0.8194444444444444,-0.06944444444444445,-0.14814814814814814,-0.009259259259259264,0.125,exact,18
gpt_oss_120b__production,status simulator_calibrated,0.9814814814814814,0.9583333333333334,-0.023148148148148147,-0.08333333333333333,0.03703703703703704,0.625,exact,18
gpt_oss_120b__semantic,severity accuracy,0.7962962962962963,0.9074074074074076,0.1111111111111111,-0.009259259259259252,0.2592592592592593,0.15625,exact,18
gpt_oss_120b__semantic,status turbofan,0.8333333333333334,0.8842592592592592,0.05092592592592593,-0.041666666666666664,0.15740740740740744,0.40234375,exact,18
gpt_oss_120b__semantic,status simulator,0.7407407407407407,0.7222222222222222,-0.018518518518518507,-0.1527777777777778,0.11574074074074076,0.8515625,exact,18
gpt_oss_120b__semantic,status simulator_calibrated,0.8518518518518517,0.9074074074074076,0.05555555555555555,-0.018518518518518514,0.14814814814814817,0.3125,exact,18
keyword_only,severity accuracy,0.3888888888888889,0.3611111111111111,-0.027777777777777776,-0.08333333333333333,0.0,1.0,exact,18
keyword_only,status turbofan,0.4444444444444444,0.3888888888888889,-0.05555555555555555,-0.1388888888888889,0.0,0.5,exact,18
keyword_only,status simulator,0.38888888888888895,0.3564814814814815,-0.03240740740740741,-0.09259259259259262,0.0,0.5,exact,18
keyword_only,status simulator_calibrated,0.4444444444444444,0.3888888888888889,-0.05555555555555555,-0.1388888888888889,0.0,0.5,exact,18
keyword_regex_extended,severity accuracy,0.9444444444444444,0.4444444444444444,-0.5,-0.7222222222222222,-0.2777777777777778,0.001953125,exact,18
keyword_regex_extended,status turbofan,0.9444444444444444,0.7222222222222222,-0.2222222222222222,-0.4166666666666667,-0.05555555555555555,0.0625,exact,18
keyword_regex_extended,status simulator,0.9444444444444444,0.7175925925925927,-0.22685185185185183,-0.4212962962962963,-0.06018518518518518,0.0625,exact,18
keyword_regex_extended,status simulator_calibrated,0.9444444444444444,0.7129629629629629,-0.2314814814814815,-0.42129629629629634,-0.06944444444444448,0.015625,exact,18
keyword_regex_severity,severity accuracy,0.9444444444444444,0.3888888888888889,-0.5555555555555556,-0.7777777777777778,-0.3333333333333333,0.001953125,exact,18
keyword_regex_severity,status turbofan,0.9444444444444444,0.6666666666666666,-0.2777777777777778,-0.5,-0.1111111111111111,0.0625,exact,18
keyword_regex_severity,status simulator,0.9444444444444444,0.6666666666666666,-0.2777777777777778,-0.5,-0.1111111111111111,0.0625,exact,18
keyword_regex_severity,status simulator_calibrated,0.9444444444444444,0.6574074074074073,-0.28703703703703703,-0.5047453703703703,-0.11574074074074076,0.015625,exact,18
llama3_2_3b__production,severity accuracy,0.7222222222222222,0.6527777777777778,-0.06944444444444445,-0.18055555555555555,0.027777777777777776,0.375,exact,18
llama3_2_3b__production,status turbofan,0.8888888888888888,0.8425925925925926,-0.0462962962962963,-0.125,0.013888888888888888,0.3125,exact,18
llama3_2_3b__production,status simulator,0.7037037037037037,0.587962962962963,-0.11574074074074076,-0.2501157407407406,-0.009259259259259254,0.125,exact,18
llama3_2_3b__production,status simulator_calibrated,0.8888888888888888,0.7870370370370371,-0.10185185185185185,-0.1898148148148148,-0.027662037037038716,0.046875,exact,18
minilm_finetuned,severity accuracy,0.9444444444444444,0.4583333333333333,-0.4861111111111111,-0.6388888888888888,-0.3333333333333333,7.62939453125e-05,exact,18
minilm_finetuned,status turbofan,0.9444444444444444,0.6388888888888888,-0.3055555555555556,-0.4305555555555556,-0.18055555555555555,0.0003662109375,exact,18
minilm_finetuned,status simulator,0.9444444444444444,0.5925925925925926,-0.35185185185185186,-0.47685185185185186,-0.2222222222222222,0.000274658203125,exact,18
