arm,checkpoint,scope,own,common,diff,ci_lo,ci_hi,p,p_method,n_groups
gemini_3_5_flash__production,turbofan,unfamiliar,0.9444444444444444,1.0,0.05555555555555555,0.0,0.14351851851851852,0.25,exact,18
gemini_3_5_flash__semantic,simulator,unfamiliar,0.7962962962962963,0.9814814814814815,0.18518518518518517,0.032407407407407406,0.3657407407407407,0.0625,exact,18
gemini_3_5_flash__semantic,simulator_calibrated,unfamiliar,0.9629629629629629,0.9814814814814815,0.018518518518518517,0.0,0.041666666666666664,0.25,exact,18
gemini_3_5_flash__semantic,turbofan,unfamiliar,0.9166666666666666,0.9861111111111112,0.06944444444444443,0.0,0.18055555555555555,0.25,exact,18
gemma3_4b__production,simulator,unfamiliar,0.4444444444444444,0.6481481481481481,0.2037037037037037,0.041666666666666664,0.40740740740740744,0.125,exact,18
gemma3_4b__production,simulator_calibrated,unfamiliar,0.6435185185185185,0.6527777777777778,0.009259259259259259,-0.018518518518518517,0.037037037037037035,0.75,exact,18
gemma3_4b__production,turbofan,unfamiliar,0.6574074074074074,0.6666666666666666,0.009259259259259257,-0.07407407407407408,0.08796296296296297,0.75,exact,18
gpt_oss_120b__production,simulator,unfamiliar,0.8194444444444444,0.9629629629629629,0.14351851851851852,0.009259259259259259,0.3101851851851852,0.125,exact,18
gpt_oss_120b__production,simulator_calibrated,unfamiliar,0.9583333333333334,0.9629629629629629,0.004629629629629629,0.0,0.013888888888888888,1.0,exact,18
gpt_oss_120b__production,turbofan,unfamiliar,0.9444444444444444,0.9675925925925926,0.023148148148148147,0.0,0.05555555555555555,0.25,exact,18
gpt_oss_120b__semantic,simulator,unfamiliar,0.7222222222222222,0.9074074074074074,0.18518518518518517,0.046296296296296294,0.3611111111111111,0.0625,exact,18
gpt_oss_120b__semantic,simulator_calibrated,unfamiliar,0.9074074074074074,0.9074074074074074,0.0,0.0,0.0,1.0,exact,18
gpt_oss_120b__semantic,turbofan,unfamiliar,0.8842592592592593,0.9120370370370371,0.027777777777777776,0.004629629629629629,0.06018518518518518,0.125,exact,18
keyword_only,simulator,unfamiliar,0.35648148148148145,0.38425925925925924,0.027777777777777776,0.0,0.07407407407407407,0.5,exact,18
keyword_only,simulator_calibrated,unfamiliar,0.3888888888888889,0.3888888888888889,0.0,0.0,0.0,1.0,exact,18
keyword_only,turbofan,unfamiliar,0.3888888888888889,0.3888888888888889,0.0,0.0,0.0,1.0,exact,18
keyword_regex_extended,simulator,unfamiliar,0.7175925925925926,0.7175925925925926,0.0,0.0,0.0,1.0,exact,18
keyword_regex_extended,simulator_calibrated,unfamiliar,0.7129629629629629,0.7129629629629629,0.0,0.0,0.0,1.0,exact,18
keyword_regex_extended,turbofan,unfamiliar,0.7222222222222222,0.7222222222222222,0.0,0.0,0.0,1.0,exact,18
keyword_regex_severity,simulator,unfamiliar,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,exact,18
keyword_regex_severity,simulator_calibrated,unfamiliar,0.6574074074074074,0.6574074074074074,0.0,0.0,0.0,1.0,exact,18
keyword_regex_severity,turbofan,unfamiliar,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,exact,18
llama3_2_3b__production,simulator,unfamiliar,0.5879629629629629,0.8425925925925926,0.25462962962962965,0.0787037037037037,0.462962962962963,0.03125,exact,18
llama3_2_3b__production,simulator_calibrated,unfamiliar,0.7870370370370371,0.8425925925925926,0.05555555555555555,0.009259259259259259,0.12037037037037036,0.09375,exact,18
llama3_2_3b__production,turbofan,unfamiliar,0.8425925925925926,0.875,0.03240740740740741,0.0,0.0925925925925926,0.5,exact,18
minilm_finetuned,simulator,unfamiliar,0.5925925925925926,0.5925925925925926,0.0,0.0,0.0,1.0,exact,18
minilm_finetuned,simulator_calibrated,unfamiliar,0.5972222222222222,0.5972222222222222,0.0,0.0,0.0,1.0,exact,18
minilm_finetuned,turbofan,unfamiliar,0.6388888888888888,0.6388888888888888,0.0,0.0,0.0,1.0,exact,18
minilm_finetuned_indomain,simulator,unfamiliar,0.9120370370370371,0.9120370370370371,0.0,0.0,0.0,1.0,exact,18
minilm_finetuned_indomain,simulator_calibrated,unfamiliar,0.9120370370370371,0.9120370370370371,0.0,0.0,0.0,1.0,exact,18
minilm_finetuned_indomain,turbofan,unfamiliar,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,1.0,exact,18
minilm_logreg,simulator,unfamiliar,0.8564814814814815,0.8564814814814815,0.0,0.0,0.0,1.0,exact,18
minilm_logreg,simulator_calibrated,unfamiliar,0.8611111111111112,0.8611111111111112,0.0,0.0,0.0,1.0,exact,18
minilm_logreg,turbofan,unfamiliar,0.875,0.875,0.0,0.0,0.0,1.0,exact,18
