arm,checkpoint,scope,own,common,diff,ci_lo,ci_hi,p,p_method,n_groups
minilm_logreg_indomain,simulator_calibrated,all,0.8492063492063492,0.8492063492063492,0.0,0.0,0.0,1.0,exact,42
minilm_logreg_indomain,turbofan,all,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,1.0,exact,42
qwen3_4b__production,simulator,all,0.7857142857142857,0.8571428571428571,0.07142857142857142,0.0,0.16666666666666666,0.25,exact,42
qwen3_4b__production,simulator_calibrated,all,0.8015873015873016,0.873015873015873,0.07142857142857142,0.007936507936507936,0.1507936507936508,0.125,exact,42
qwen3_4b__production,turbofan,all,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,1.0,exact,42
qwen3_8_27b__production,simulator,all,0.8809523809523809,0.9761904761904762,0.09523809523809523,0.023809523809523808,0.19047619047619047,0.125,exact,42
qwen3_8_27b__production,simulator_calibrated,all,1.0,0.9920634920634921,-0.007936507936507936,-0.023809523809523808,0.0,1.0,exact,42
qwen3_8_27b__production,turbofan,all,0.9761904761904762,0.9761904761904762,0.0,0.0,0.0,1.0,exact,42
qwen3_8_27b__semantic,simulator,all,0.8571428571428571,0.9761904761904762,0.11904761904761904,0.023809523809523808,0.21428571428571427,0.0625,exact,42
qwen3_8_27b__semantic,simulator_calibrated,all,1.0,1.0,0.0,0.0,0.0,1.0,exact,42
qwen3_8_27b__semantic,turbofan,all,0.9761904761904762,0.9761904761904762,0.0,0.0,0.0,1.0,exact,42
tfidf_logreg,simulator,all,0.6428571428571429,0.6428571428571429,0.0,0.0,0.0,1.0,exact,42
tfidf_logreg,simulator_calibrated,all,0.6349206349206349,0.6349206349206349,0.0,0.0,0.0,1.0,exact,42
tfidf_logreg,turbofan,all,0.6428571428571429,0.6428571428571429,0.0,0.0,0.0,1.0,exact,42
tfidf_logreg_indomain,simulator,all,0.8095238095238095,0.8095238095238095,0.0,0.0,0.0,1.0,exact,42
tfidf_logreg_indomain,simulator_calibrated,all,0.7936507936507936,0.7936507936507936,0.0,0.0,0.0,1.0,exact,42
tfidf_logreg_indomain,turbofan,all,0.8095238095238095,0.8095238095238095,0.0,0.0,0.0,1.0,exact,42
bge_m3_logreg,simulator,unfamiliar,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,1.0,exact,42
bge_m3_logreg,simulator_calibrated,unfamiliar,0.873015873015873,0.873015873015873,0.0,0.0,0.0,1.0,exact,42
bge_m3_logreg,turbofan,unfamiliar,0.8809523809523809,0.8809523809523809,0.0,0.0,0.0,1.0,exact,42
bge_m3_logreg_indomain,simulator,unfamiliar,0.9047619047619048,0.9047619047619048,0.0,0.0,0.0,1.0,exact,42
bge_m3_logreg_indomain,simulator_calibrated,unfamiliar,0.9206349206349206,0.9206349206349206,0.0,0.0,0.0,1.0,exact,42
bge_m3_logreg_indomain,turbofan,unfamiliar,0.9285714285714286,0.9285714285714286,0.0,0.0,0.0,1.0,exact,42
embedding_severity,simulator,unfamiliar,0.7619047619047619,0.7619047619047619,0.0,0.0,0.0,1.0,exact,42
embedding_severity,simulator_calibrated,unfamiliar,0.753968253968254,0.753968253968254,0.0,0.0,0.0,1.0,exact,42
