arm,checkpoint,style,status_match,n
gpt_oss_120b__semantic,simulator_calibrated,understated,0.8,15
gpt_oss_120b__semantic,turbofan,codemixed,1.0,18
gpt_oss_120b__semantic,turbofan,consequence,0.875,24
gpt_oss_120b__semantic,turbofan,jargon,0.875,24
gpt_oss_120b__semantic,turbofan,negation,0.8333333333333334,18
gpt_oss_120b__semantic,turbofan,quantitative,1.0,18
gpt_oss_120b__semantic,turbofan,terse,1.0,9
gpt_oss_120b__semantic,turbofan,understated,0.8,15
keyword_only,pronostia,codemixed,0.6666666666666666,18
keyword_only,pronostia,consequence,0.625,24
keyword_only,pronostia,jargon,0.625,24
keyword_only,pronostia,negation,0.6666666666666666,18
keyword_only,pronostia,quantitative,0.6666666666666666,18
keyword_only,pronostia,terse,0.6666666666666666,9
keyword_only,pronostia,understated,0.8,15
keyword_only,simulator,codemixed,0.3888888888888889,18
keyword_only,simulator,consequence,0.375,24
keyword_only,simulator,jargon,0.375,24
keyword_only,simulator,negation,0.16666666666666666,18
keyword_only,simulator,quantitative,0.16666666666666666,18
keyword_only,simulator,terse,0.3333333333333333,9
keyword_only,simulator,understated,0.2,15
keyword_only,simulator_calibrated,codemixed,0.5,18
keyword_only,simulator_calibrated,consequence,0.375,24
keyword_only,simulator_calibrated,jargon,0.375,24
keyword_only,simulator_calibrated,negation,0.16666666666666666,18
keyword_only,simulator_calibrated,quantitative,0.5,18
keyword_only,simulator_calibrated,terse,0.3333333333333333,9
keyword_only,simulator_calibrated,understated,0.2,15
keyword_only,turbofan,codemixed,0.5,18
keyword_only,turbofan,consequence,0.375,24
keyword_only,turbofan,jargon,0.4583333333333333,24
keyword_only,turbofan,negation,0.16666666666666666,18
keyword_only,turbofan,quantitative,0.5,18
keyword_only,turbofan,terse,0.3333333333333333,9
keyword_only,turbofan,understated,0.2,15
keyword_regex_extended,pronostia,codemixed,0.6666666666666666,18
keyword_regex_extended,pronostia,consequence,0.625,24
keyword_regex_extended,pronostia,jargon,0.625,24
keyword_regex_extended,pronostia,negation,0.6666666666666666,18
keyword_regex_extended,pronostia,quantitative,0.6666666666666666,18
keyword_regex_extended,pronostia,terse,0.6666666666666666,9
keyword_regex_extended,pronostia,understated,0.8,15
keyword_regex_extended,simulator,codemixed,0.6666666666666666,18
keyword_regex_extended,simulator,consequence,0.75,24
keyword_regex_extended,simulator,jargon,0.625,24
keyword_regex_extended,simulator,negation,0.3333333333333333,18
keyword_regex_extended,simulator,quantitative,0.6666666666666666,18
keyword_regex_extended,simulator,terse,0.6666666666666666,9
keyword_regex_extended,simulator,understated,0.8,15
keyword_regex_extended,simulator_calibrated,codemixed,0.6666666666666666,18
keyword_regex_extended,simulator_calibrated,consequence,0.75,24
keyword_regex_extended,simulator_calibrated,jargon,0.625,24
keyword_regex_extended,simulator_calibrated,negation,0.3333333333333333,18
keyword_regex_extended,simulator_calibrated,quantitative,0.6111111111111112,18
keyword_regex_extended,simulator_calibrated,terse,0.5555555555555556,9
keyword_regex_extended,simulator_calibrated,understated,0.8,15
keyword_regex_extended,turbofan,codemixed,0.6666666666666666,18
keyword_regex_extended,turbofan,consequence,0.75,24
keyword_regex_extended,turbofan,jargon,0.625,24
keyword_regex_extended,turbofan,negation,0.16666666666666666,18
keyword_regex_extended,turbofan,quantitative,0.6666666666666666,18
keyword_regex_extended,turbofan,terse,0.6666666666666666,9
keyword_regex_extended,turbofan,understated,0.8,15
keyword_regex_severity,pronostia,codemixed,0.6666666666666666,18
keyword_regex_severity,pronostia,consequence,0.625,24
